"result_time";"node_id";"parent_id";"rctp_psetsize";"rctp_parent";"rctp_retxs";"options";"thl";"etx";"origin_seqnum";"packet_type";"stats_petx";"stats_letx";"stats_raw_frssi";"stats_raw_brssi";"health_generated";"health_forwarded";"health_retransmissions";"health_dropped";"routingtableactive";"neighbor_id_0";"neighbor_petx_0";"neighbor_parent_0";"neighbor_id_1";"neighbor_petx_1";"neighbor_parent_1";"neighbor_id_2";"neighbor_petx_2";"neighbor_parent_2";"neighbor_id_3";"neighbor_petx_3";"neighbor_parent_3";"neighbor_id_4";"neighbor_petx_4";"neighbor_parent_4";"pkt_length";"parentparent"
"2016-08-18 14:29:22.808";20841;22731;1;22731;0;0;5;10;78;221;50;10;215;220;3151;108;559;0;14;11501;24;40031;62031;10;11501;23131;10;22631;20151;10;22631;0;0;0;55;40031
"2016-08-18 14:40:30.457";22631;40031;1;40031;0;0;4;10;76;221;40;10;220;224;5197;10421;1780;3;20;22731;10;40031;20541;10;11301;20141;10;40031;11501;10;40031;0;0;0;55;11101
"2016-08-18 14:40:46.744";21141;11501;1;11501;0;0;5;10;58;221;54;14;0;215;2875;1;2220;45;14;48895;30;22631;20941;10;11501;21151;65535;20541;22931;11;20541;0;0;0;55;40031
"2016-08-18 14:56:43.732";23131;21731;5;22631;0;0;5;10;20;221;51;11;218;215;5909;21297;3524;2;20;22731;10;40031;23341;10;10501;11501;10;40031;21731;11;40031;0;0;0;55;40031
"2016-08-18 15:04:50.961";20841;22731;1;22731;0;0;5;10;84;221;50;10;216;221;3157;108;559;0;14;11501;23;40031;62031;10;11501;23131;10;22631;20151;10;22631;0;0;0;55;40031
"2016-08-18 15:05:56.914";21341;22631;5;22731;0;0;5;10;131;221;50;10;217;220;2948;196;344;0;14;23341;11;10501;22631;10;40031;20141;10;40031;21731;12;40031;0;0;0;55;40031
"2016-08-18 15:09:31.036";22831;20141;5;20141;0;0;5;10;232;221;50;10;223;219;1257;827;195;0;20;22731;10;40031;20541;10;11301;11501;10;40031;23341;10;40031;0;0;0;55;40031
"2016-08-18 15:40:22.265";20841;22731;2;22731;0;0;5;10;90;221;50;10;217;224;3163;108;559;0;14;11501;19;40031;62031;10;11501;23131;10;22631;20151;10;22631;0;0;0;55;40031
"2016-08-18 15:53:20.917";22731;40031;2;40031;1;0;4;10;197;221;40;10;220;222;5318;8247;1636;1;20;11301;10;11101;22631;10;40031;20541;10;11301;20141;10;11301;0;0;0;55;11101
"2016-08-18 16:01:01.448";21341;11501;5;22731;0;0;5;10;138;221;50;10;6;240;2955;196;344;0;14;23341;11;10501;22631;10;40031;20141;10;40031;21731;12;40031;0;0;0;55;40031
