"result_time";"total_time";"node_id";"parent_id";"rctp_psetsize";"rctp_parent";"rctp_retxs";"options";"thl";"etx";"origin_seqnum";"packet_type";"stats_petx";"stats_letx";"stats_raw_frssi";"stats_raw_brssi";"health_generated";"health_forwarded";"health_retransmissions";"health_dropped";"ctrl_ntxpkt";"ctrl_nrxpkt";"ctrl_nparentchange";"ctrl_ntricklereset";"data_ntxpkt";"data_nrxpkt";"data_nrxacks";"data_nqueuedrops";"data_ndups";"data_ninconsistencies";"pkt_length"
"2016-08-18 01:21:28.133";585684021;22131;21731;5;10101;0;0;5;10;219;205;50;10;229;228;476;281;199;1;7924;4005;51;2789;955;282;755;0;1;0;52
"2016-08-18 01:27:27.832";583596006;11801;20441;2;11501;0;0;5;10;220;205;50;10;223;255;477;870;91;0;8371;10584;81;2401;1435;877;1344;0;9;0;52
"2016-08-18 01:27:33.612";3564633620;23131;22731;5;22631;0;0;5;10;196;205;50;10;227;223;5829;21267;3501;2;42357;52881;589;56082;30569;21281;27066;0;41;0;52
"2016-08-18 01:28:02.753";582379221;60631;61631;3;11401;0;0;6;10;38;205;60;10;239;241;551;40;145;0;27115;26287;448;33967;730;40;590;0;0;1;52
"2016-08-18 01:28:15.344";588139202;10401;11301;1;11301;0;0;4;10;67;205;40;10;3;255;580;873;37;0;3034;38495;17;907;1487;879;1450;0;8;0;52
"2016-08-18 01:30:06.92";566280004;50331;11501;2;23341;1;0;5;10;217;205;50;10;0;215;474;76;600;7;428;6069;136;63;1148;76;542;0;0;0;52
"2016-08-18 01:31:23.44";588168006;20301;10101;5;10101;0;0;5;10;232;205;50;10;8;8;489;1125;338;6;5723;21770;62;1573;1951;1131;1607;0;6;2;52
"2016-08-18 01:33:35.852";1179936004;30451;21501;1;21501;3;0;6;10;122;205;64;14;0;210;891;191;1331;45;13844;9902;404;5510;2409;191;1036;0;0;0;52
"2016-08-18 01:34:17.256";581644821;61831;11401;2;11401;0;0;6;10;189;205;60;10;0;214;446;491;373;3;25389;15777;436;28241;1309;491;933;0;0;2;52
"2016-08-18 01:35:11.465";583862403;60001;11801;5;11801;1;0;6;10;196;205;60;10;1;0;453;1418;471;12;15513;61559;158;5476;2337;1433;1855;0;18;1;52
"2016-08-18 01:35:39.697";582400821;61131;11401;2;11401;1;0;6;10;185;205;60;10;0;212;442;48;309;9;26920;63865;510;34055;797;48;480;0;0;1;52
"2016-08-18 01:36:49.872";657360002;11301;11101;1;11101;0;0;3;10;27;205;30;10;2;255;540;8511;309;0;1809;18515;4;464;9353;8560;9044;0;55;0;52
"2016-08-18 01:39:53.532";578793604;50031;21501;1;21501;0;0;6;10;226;205;60;10;0;215;483;61;538;5;404;10452;178;38;1080;86;537;0;26;0;52
"2016-08-18 01:41:19.688";658368006;10301;10201;1;10201;0;0;2;10;55;205;20;10;1;255;568;15175;188;0;841;36490;7;182;15927;15500;15739;0;328;0;52
"2016-08-18 01:42:05.076";1192010404;20841;22731;2;22731;0;0;5;10;215;205;50;10;216;223;3032;108;506;0;3218;150;117;1404;3645;108;3139;0;0;0;52
"2016-08-18 01:44:55.964";659808005;10801;1;1;1;0;0;1;10;71;205;10;10;0;255;584;11864;448;4;458;4032;15;66;12895;11941;12443;0;77;0;52
"2016-08-18 01:45:23.184";587152821;22031;11501;5;10101;0;0;5;10;8;205;50;10;3;225;521;36;63;1;4044;43963;55;1467;619;36;555;0;0;0;52
"2016-08-18 01:45:33.9";583596021;60331;61631;3;11401;0;0;6;10;202;205;60;10;232;233;459;39;169;0;26694;51879;462;33376;665;39;496;0;1;0;52
"2016-08-18 01:46:13.452";581644821;61931;11501;1;11501;0;0;5;10;171;205;50;10;0;215;428;284;296;1;9804;6983;113;4461;1007;287;710;0;3;0;52
"2016-08-18 01:46:28.876";1190380804;21141;22831;5;20941;0;0;6;10;203;205;60;10;227;231;2764;1;1946;37;871;29011;390;161;4700;1;2727;0;0;0;52
"2016-08-18 01:47:23.088";571327221;20641;10501;1;10501;0;0;4;10;185;205;40;10;0;213;442;408;139;0;2836;35235;34;1049;988;410;849;0;2;0;52
"2016-08-18 01:54:21.388";1196680804;21341;22731;5;22731;0;0;5;10;16;205;50;10;225;229;2833;196;320;0;4410;19971;75;1958;3348;196;3028;0;0;2;52
"2016-08-18 01:55:50.144";586656007;20711;11501;2;10101;0;0;5;10;210;205;50;10;7;7;467;317;37;0;8389;17442;67;2399;820;319;783;0;2;0;52
"2016-08-18 01:55:57.016";571852821;20441;10501;1;10501;0;0;4;10;17;205;40;10;0;213;530;454;136;0;2864;28760;41;1117;1119;455;983;0;1;0;52
"2016-08-18 01:56:43.937";570952821;23241;10101;3;11501;0;0;5;10;202;205;50;10;2;220;459;175;256;1;6079;9976;115;2455;889;186;632;0;11;0;52
"2016-08-18 01:57:40.705";570240021;61031;11401;2;11401;0;0;6;10;198;205;60;10;0;216;455;4;192;1;25331;24102;432;31398;650;4;457;0;0;0;52
"2016-08-18 01:59:10.884";583840823;61231;61631;2;61631;0;0;6;10;251;205;60;10;226;225;508;46;270;3;26941;44325;600;33465;822;46;549;0;1;0;52
"2016-08-18 01:59:16.716";581500804;30251;21501;1;21501;2;0;6;10;21;205;60;10;0;220;534;33;581;6;319;55988;158;43;1140;33;560;0;0;0;52
"2016-08-18 01:59:40.812";569196021;20541;11301;1;11301;0;0;4;10;215;205;40;10;1;216;472;361;179;1;2454;30692;30;836;1009;362;829;0;3;0;52
"2016-08-18 01:59:42.425";584337621;60731;61631;3;11401;0;0;6;10;245;205;61;10;236;237;502;36;250;0;27006;29242;493;34287;785;36;535;0;2;1;52
"2016-08-18 02:00:12.272";580867204;30751;30651;2;30651;0;0;7;10;21;205;70;10;225;225;534;0;401;2;309;31775;167;11;929;0;531;0;0;0;52
"2016-08-18 02:01:44.229";584467221;60831;61631;2;11401;0;0;6;10;52;205;61;10;237;239;565;29;291;0;26918;6220;515;33297;884;29;593;0;0;0;52
"2016-08-18 02:02:16.684";584611221;60531;61631;2;11401;0;0;6;10;227;205;61;10;236;237;484;43;150;0;26370;47936;438;33143;675;43;525;0;1;0;52
"2016-08-18 02:03:09.921";658972806;10501;10701;1;10701;0;0;3;10;59;205;30;10;1;255;572;6210;539;1;1335;25018;28;305;7317;6238;6777;0;31;0;52
"2016-08-18 02:03:38.349";579686404;50531;23341;2;23341;0;0;5;10;233;205;50;10;223;231;490;307;277;0;3978;51633;72;1168;1066;308;794;0;3;0;52
"2016-08-18 02:03:55.58";583480821;61631;10101;1;10101;0;0;5;10;6;205;51;11;0;217;519;1683;1228;6;25766;17608;311;28919;3424;1685;2190;0;7;1;52
"2016-08-18 02:04:22.552";583236021;61731;11401;3;11401;0;0;6;10;219;205;60;10;2;224;476;17;183;1;26328;38355;479;32180;675;17;491;0;0;0;52
"2016-08-18 02:05:35.714";661075205;10201;1;1;1;0;0;1;10;117;205;10;10;2;255;630;40921;0;0;338;5223;4;25;41549;41037;41549;0;117;0;52
"2016-08-18 02:06:11.496";564998404;20251;22731;5;22731;0;0;5;10;183;205;50;10;227;233;440;2;37;0;2608;44340;29;854;478;2;441;0;0;0;52
"2016-08-18 02:06:19.74";571867204;21151;20541;1;20541;0;0;5;10;96;205;50;10;212;219;609;173;268;1;3149;22255;74;898;1049;173;780;0;0;0;52
"2016-08-18 02:06:56.836";584236821;60931;11401;3;11401;0;0;6;10;244;205;60;10;2;225;501;35;257;4;27182;10022;530;34607;792;35;531;0;0;1;52
"2016-08-18 02:07:41.836";587059205;11501;40031;1;40031;0;0;4;10;177;205;40;10;227;255;434;8405;7;0;11674;63;10;3491;8832;8449;8825;0;57;0;52
"2016-08-18 02:09:02.777";661284002;10011;1;1;1;0;0;1;10;148;205;10;10;6;255;661;5330;0;0;293;2098;3;8;5990;5396;5990;0;66;0;52
"2016-08-18 02:09:38.632";3567240020;23031;10101;4;22731;0;0;5;10;224;205;50;10;2;221;4833;9498;1521;4;38717;43590;910;31542;15843;9501;14318;0;11;2;52
"2016-08-18 02:09:49.784";586634406;21411;23241;5;50531;0;0;6;10;225;205;60;10;225;255;482;318;136;3;15650;65414;175;4865;935;349;796;0;31;4;52
"2016-08-18 02:10:05.709";583106421;62031;21731;2;11501;0;0;5;10;56;205;50;10;221;218;569;213;194;0;10984;49633;99;5061;973;214;779;0;3;0;52
"2016-08-18 02:10:54.792";572270404;21031;22631;5;20441;0;0;5;10;17;205;50;10;223;225;530;152;79;0;3675;3647;46;1178;759;152;680;0;1;0;52
"2016-08-18 02:13:42.904";583329622;62231;10101;3;10101;2;0;5;10;218;205;50;10;7;239;475;60;166;0;10299;29825;69;4251;695;60;531;0;3;0;52
"2016-08-18 02:16:17.805";590248805;11001;11301;3;11201;0;0;4;10;1;205;40;10;4;5;514;1930;70;1;1086;8654;19;229;2512;1936;2441;0;7;0;52
"2016-08-18 02:16:19.856";568339204;50131;23031;4;21501;0;0;6;10;188;205;60;10;214;223;445;48;575;8;1020;2604;107;182;1066;48;483;0;1;0;52
"2016-08-18 02:19:56.84";659736021;40231;10501;3;10501;0;0;4;10;82;205;40;10;4;227;595;104;58;0;1901;57520;14;583;756;105;698;0;1;0;52
"2016-08-18 02:20:42.273";563932806;11201;10801;4;10701;0;0;2;10;253;205;39;29;0;0;510;3516;113;0;245;34506;6;2;4138;3537;4025;0;21;0;52
"2016-08-18 02:22:29.48";1186192804;20141;40031;1;40031;0;0;4;10;104;205;40;10;216;225;2409;2187;287;3;4084;30014;94;1900;4882;2190;4592;0;3;1;52
"2016-08-18 02:22:49.096";828144020;22931;22631;5;22731;0;0;5;10;173;205;50;10;232;225;1198;708;566;19;7897;65128;153;3323;2470;708;1885;0;1;0;52
"2016-08-18 02:26:25.673";587980807;11601;11501;5;11501;0;0;5;10;68;205;50;10;7;7;581;351;10;0;8377;15160;38;2310;941;355;931;0;4;2;52
"2016-08-18 02:26:48.797";1192881604;21141;11801;5;20941;0;0;6;10;210;205;60;10;1;221;2771;1;1977;37;872;29552;395;161;4748;1;2734;0;0;0;52
"2016-08-18 02:27:45.652";568195205;30651;21501;1;21501;0;0;6;10;217;205;60;10;2;224;474;179;551;4;16670;40572;310;5783;1203;179;648;0;0;1;52
"2016-08-18 02:27:58.113";586468821;60201;11401;4;11401;0;0;6;10;63;205;60;10;1;220;576;61;217;0;27245;58287;473;34951;853;61;636;0;0;0;52
"2016-08-18 02:28:49.364";591861602;10401;11301;1;11301;0;0;4;10;71;205;40;10;4;255;584;879;37;0;3035;39719;17;907;1497;885;1460;0;8;0;52
"2016-08-18 02:29:50.396";590169621;21731;11301;2;40031;0;0;4;10;41;205;40;10;0;219;554;1871;346;0;3161;62961;24;1209;2767;1875;2421;0;7;0;52
"2016-08-18 02:29:54.536";583639204;31051;21501;2;21501;2;0;6;10;243;205;60;10;2;211;500;62;277;1;5428;22512;182;1274;836;62;560;0;0;0;52
"2016-08-18 02:31:00.608";589860021;22431;20141;5;20141;0;0;5;10;55;205;50;10;222;218;568;733;620;5;1814;2519;51;578;1917;733;1292;0;3;0;52
"2016-08-18 02:32:56.464";591487205;10101;40031;1;40031;0;0;4;10;239;205;40;10;221;255;496;11932;23;0;8979;778;15;2795;12427;12057;12404;0;148;0;52
"2016-08-18 02:34:17.176";565056002;10911;11101;1;11101;0;0;3;10;213;205;30;10;0;0;470;0;216;0;266;750;15;16;685;0;469;0;0;0;52
