2016-08-18 15:09:22 Round: 1
nodeid	prnt_size
11801	4.0
20031	4.0
20151	5.0
20301	1.0
20441	1.0
20641	5.0
20711	3.0
20841	2.0
20851	2.0
20941	5.0
21031	4.0
21141	1.0
21341	5.0
21931	5.0
22331	5.0
22631	2.0
22831	5.0
23131	5.0
30251	3.0
31051	2.0
31301	2.0
50031	1.0
50131	3.0
50431	5.0
50531	2.0
60001	2.0
60201	5.0
60331	5.0
60531	5.0
60831	5.0
61231	5.0
61331	5.0
61531	5.0
61831	5.0
62131	3.0
62231	4.0
number of leaf nodes: 39	avg_prnt_size: 3.51282051282	stdev: 1.51694353413

2016-08-20 07:20:08 Round: 21
nodeid	prnt_size
10011	1.0
10911	3.0
11801	3.0
20031	5.0
20151	5.0
20251	5.0
20301	5.0
20541	1.0
20711	3.0
20841	2.0
20851	1.0
20941	5.0
21141	5.0
21731	5.0
21831	5.0
22031	5.0
22531	5.0
22731	2.0
22931	5.0
23031	3.0
23131	4.0
23241	3.0
30251	4.0
30451	2.0
30551	2.0
30751	2.0
31051	2.0
40231	5.0
50031	2.0
50131	5.0
50431	5.0
60201	5.0
60331	5.0
60531	5.0
60731	5.0
60831	5.0
61131	5.0
61531	5.0
61731	5.0
61831	5.0
62031	4.0
62231	4.0
number of leaf nodes: 42	avg_prnt_size: 3.88095238095	stdev: 1.40072057906

2016-08-20 09:21:15 Round: 22
nodeid	prnt_size
10011	1.0
10911	3.0
11801	3.0
20031	5.0
20151	5.0
20251	5.0
20711	3.0
20841	2.0
20851	1.0
21031	4.0
21141	5.0
21341	5.0
21831	5.0
22031	5.0
22131	5.0
22331	1.0
22531	5.0
22631	3.0
22731	2.0
22831	5.0
22931	5.0
23031	3.0
23131	5.0
30251	4.0
30351	5.0
30451	2.0
30551	2.0
30651	3.0
30751	1.0
31301	2.0
50031	2.0
50131	5.0
50331	1.0
50531	2.0
60201	5.0
60331	5.0
60531	5.0
60831	5.0
61131	5.0
61231	5.0
61731	5.0
62031	4.0
62231	4.0
number of leaf nodes: 43	avg_prnt_size: 3.67441860465	stdev: 1.48982487238

2016-08-20 11:26:10 Round: 23
nodeid	prnt_size
10011	1.0
10401	4.0
10911	4.0
11801	3.0
20151	5.0
20251	5.0
20541	1.0
20841	2.0
20851	1.0
20941	5.0
21031	4.0
21341	5.0
22031	5.0
22131	5.0
22331	1.0
22731	2.0
22831	5.0
23131	4.0
30251	4.0
30351	5.0
30551	5.0
30751	3.0
31051	2.0
31301	2.0
40231	5.0
50331	1.0
50431	5.0
50531	2.0
60201	5.0
60331	5.0
61131	5.0
61231	5.0
61531	5.0
61731	5.0
61831	5.0
62031	3.0
62231	4.0
number of leaf nodes: 37	avg_prnt_size: 3.72972972973	stdev: 1.50042604127

2016-08-20 13:29:47 Round: 24
nodeid	prnt_size
10011	1.0
10911	3.0
11801	4.0
20031	5.0
20151	5.0
20251	5.0
20301	1.0
20541	1.0
20641	5.0
20841	2.0
20941	5.0
21141	1.0
21831	5.0
22031	5.0
22131	5.0
22531	5.0
22731	2.0
23031	4.0
23241	4.0
30351	5.0
31051	1.0
50031	2.0
50131	4.0
50331	1.0
50431	5.0
50531	2.0
60001	2.0
60201	5.0
60331	5.0
60531	5.0
60731	5.0
60831	5.0
61131	5.0
61231	5.0
61531	5.0
61731	5.0
61831	5.0
61931	4.0
62131	3.0
62231	3.0
number of leaf nodes: 40	avg_prnt_size: 3.75	stdev: 1.54515371404

2016-08-20 15:31:10 Round: 25
nodeid	prnt_size
10011	1.0
10911	3.0
11801	4.0
20031	4.0
20251	5.0
20711	3.0
20841	2.0
20851	3.0
20941	5.0
21031	4.0
21141	1.0
21341	5.0
21931	5.0
22131	5.0
22331	1.0
22531	5.0
22931	5.0
23131	5.0
23241	4.0
30251	3.0
30451	2.0
30551	2.0
30751	2.0
31051	2.0
31301	2.0
40231	5.0
50131	4.0
50431	5.0
50531	2.0
60331	5.0
60531	5.0
61131	5.0
61331	5.0
61531	5.0
61731	5.0
61831	5.0
number of leaf nodes: 36	avg_prnt_size: 3.72222222222	stdev: 1.42616640589

2016-08-20 17:32:16 Round: 26
nodeid	prnt_size
10011	1.0
10911	3.0
11801	4.0
20031	4.0
20441	1.0
20711	3.0
20841	2.0
20851	3.0
20941	5.0
21731	5.0
21831	5.0
22031	5.0
22131	5.0
22331	1.0
22431	5.0
22731	2.0
22831	5.0
22931	5.0
23031	4.0
23131	5.0
